,1,2,3,4,5
6992,0,0,0,0,1
6663,0,0,0,0,1
2107,0,0,0,0,1
6449,0,0,0,0,1
8852,0,0,0,0,1
3101,1,0,0,0,0
10102,0,0,1,0,0
567,0,0,0,0,1
8687,0,0,0,0,1
2367,0,0,0,0,1
10370,0,1,0,0,0
10138,0,0,0,0,1
4845,0,0,0,1,0
440,0,1,0,0,0
2018,0,0,0,0,1
9837,0,0,0,0,1
9641,0,0,0,1,0
4450,0,0,0,0,1
3870,0,0,0,0,1
8775,0,0,0,0,1
4127,0,0,0,1,0
4421,1,0,0,0,0
1224,0,0,0,0,1
5399,1,0,0,0,0
10546,1,0,0,0,0
11014,1,0,0,0,0
36,1,0,0,0,0
4113,1,0,0,0,0
3349,0,0,0,0,1
2249,0,0,0,1,0
3254,0,0,0,1,0
5284,0,0,0,0,1
6307,0,0,0,0,1
3035,0,0,0,1,0
8713,0,0,0,0,1
7261,0,0,0,0,1
3295,0,0,0,0,1
11556,0,0,0,0,1
3021,0,0,0,0,1
1360,0,0,0,0,1
5325,1,0,0,0,0
10028,1,0,0,0,0
486,1,0,0,0,0
4541,0,0,1,0,0
5135,1,0,0,0,0
3643,0,0,1,0,0
4281,0,0,0,0,1
4962,0,1,0,0,0
8994,0,0,0,1,0
637,0,0,1,0,0
9176,1,0,0,0,0
6832,1,0,0,0,0
5128,0,0,0,0,1
3013,0,1,0,0,0
7379,0,0,0,1,0
4975,0,0,0,0,1
11634,0,0,0,0,1
3148,0,0,0,0,1
4842,0,0,0,0,1
11497,0,1,0,0,0
167,1,0,0,0,0
1915,0,0,0,0,1
9597,0,0,0,0,1
6387,0,0,0,0,1
10165,1,0,0,0,0
7302,0,0,0,1,0
9603,0,1,0,0,0
10044,0,1,0,0,0
801,0,0,0,0,1
2138,0,0,0,0,1
6727,0,1,0,0,0
4395,1,0,0,0,0
742,0,0,0,1,0
5923,0,0,0,1,0
6062,0,0,0,0,1
3782,0,0,0,0,1
3038,0,0,0,0,1
10914,0,0,0,0,1
9308,0,0,0,0,1
3274,0,0,0,0,1
5210,1,0,0,0,0
2478,0,0,0,0,1
715,0,0,0,0,1
8380,0,0,0,0,1
8861,0,0,0,0,1
5961,0,0,0,1,0
11171,1,0,0,0,0
11197,1,0,0,0,0
4474,0,0,0,0,1
2089,0,0,0,0,1
3111,0,0,0,0,1
8499,0,0,0,0,1
8181,0,0,0,0,1
5174,0,0,0,0,1
1834,0,0,0,0,1
6673,0,0,0,0,1
5872,1,0,0,0,0
8513,0,0,0,0,1
7334,0,0,0,0,1
6440,1,0,0,0,0
8479,0,0,0,0,1
3617,0,0,0,0,1
2485,0,0,0,1,0
6632,0,0,0,0,1
11519,0,0,0,0,1
5279,0,0,0,0,1
1886,0,0,0,0,1
23,0,1,0,0,0
11358,0,0,0,0,1
10932,0,0,1,0,0
1309,0,0,0,0,1
5493,0,0,0,1,0
789,0,1,0,0,0
2820,0,0,0,1,0
7645,0,0,0,0,1
9296,0,0,1,0,0
8388,0,0,0,0,1
2514,0,0,0,0,1
7677,0,0,0,0,1
7717,0,0,0,0,1
8211,0,0,0,0,1
7871,0,0,0,0,1
7497,0,0,0,1,0
6330,0,0,1,0,0
1957,0,0,0,0,1
11142,0,0,0,0,1
4899,0,0,0,0,1
6482,0,0,0,0,1
2732,1,0,0,0,0
8965,0,1,0,0,0
3721,1,0,0,0,0
10077,0,0,0,0,1
6860,0,0,0,1,0
5199,1,0,0,0,0
11596,0,0,0,1,0
9217,0,0,0,1,0
6435,0,0,1,0,0
6187,0,0,0,0,1
3344,0,0,0,0,1
6649,0,0,0,1,0
10983,0,0,0,0,1
1226,0,0,0,1,0
10467,0,0,1,0,0
3649,0,0,0,1,0
4740,0,0,1,0,0
4074,0,0,0,1,0
5304,1,0,0,0,0
3949,0,0,0,0,1
10080,0,0,1,0,0
1310,0,0,0,0,1
10839,0,0,0,1,0
5709,0,0,0,0,1
4489,0,0,0,0,1
6695,0,0,0,0,1
4162,0,0,0,0,1
3316,0,0,0,0,1
3647,0,1,0,0,0
8146,0,0,0,0,1
6952,0,0,0,0,1
1315,0,0,0,0,1
6379,1,0,0,0,0
3544,0,0,0,0,1
2315,0,0,0,0,1
4046,0,0,0,0,1
2595,0,1,0,0,0
9294,0,1,0,0,0
1339,0,0,0,0,1
8526,0,0,0,0,1
738,0,0,0,0,1
965,0,0,0,0,1
252,1,0,0,0,0
5034,0,0,0,0,1
2098,0,0,0,0,1
872,0,0,1,0,0
9748,0,0,0,0,1
11101,0,0,0,1,0
4245,0,1,0,0,0
9509,0,0,0,1,0
10990,0,0,0,0,1
8671,0,0,0,0,1
3745,0,0,0,0,1
5523,0,1,0,0,0
11584,0,0,0,0,1
4902,1,0,0,0,0
9272,0,0,0,0,1
3299,1,0,0,0,0
9188,0,0,1,0,0
10078,0,0,1,0,0
6384,1,0,0,0,0
7068,0,0,0,0,1
6923,1,0,0,0,0
4401,0,0,1,0,0
7940,0,0,0,0,1
6041,0,0,0,0,1
3585,0,1,0,0,0
11439,0,0,0,0,1
447,1,0,0,0,0
8748,0,0,0,0,1
56,1,0,0,0,0
4671,0,0,0,1,0
5687,0,0,0,0,1
476,1,0,0,0,0
3519,0,0,0,0,1
6292,1,0,0,0,0
4004,1,0,0,0,0
11646,0,0,0,0,1
5344,1,0,0,0,0
3470,0,0,0,0,1
10824,0,0,0,1,0
7850,0,0,0,0,1
750,0,0,0,0,1
5360,0,0,0,0,1
9345,0,0,0,0,1
376,0,1,0,0,0
2458,0,0,0,0,1
5711,1,0,0,0,0
8550,0,0,0,0,1
6286,0,1,0,0,0
4696,0,0,0,0,1
7750,0,0,0,0,1
3785,0,0,0,0,1
11651,0,0,0,0,1
2771,0,0,0,0,1
8971,0,0,0,1,0
3499,0,0,1,0,0
2400,0,0,1,0,0
4513,1,0,0,0,0
6700,0,0,0,0,1
5960,1,0,0,0,0
4610,1,0,0,0,0
8603,0,0,0,0,1
11118,0,0,0,0,1
7303,0,0,0,0,1
11611,0,0,0,0,1
5385,0,0,0,0,1
11005,0,0,0,0,1
4216,1,0,0,0,0
227,1,0,0,0,0
5219,0,0,0,0,1
2317,0,0,0,0,1
2876,0,0,0,0,1
6348,0,0,1,0,0
10499,0,0,1,0,0
2648,1,0,0,0,0
1508,0,0,0,0,1
11509,1,0,0,0,0
10897,0,1,0,0,0
1684,0,0,0,0,1
499,0,1,0,0,0
8757,0,0,0,0,1
4089,0,0,0,0,1
1877,0,0,0,0,1
3694,0,0,0,0,1
513,0,0,0,0,1
11359,0,0,0,1,0
4518,1,0,0,0,0
10825,0,0,0,0,1
7515,0,0,0,0,1
7824,0,0,1,0,0
10759,0,0,0,0,1
9232,0,0,0,0,1
474,0,0,0,1,0
5419,1,0,0,0,0
4867,1,0,0,0,0
2955,0,0,0,1,0
10148,0,0,0,0,1
11574,1,0,0,0,0
6950,1,0,0,0,0
480,1,0,0,0,0
10411,0,0,0,0,1
10894,0,0,0,0,1
2577,0,0,0,0,1
10662,0,0,0,0,1
5195,0,0,0,0,1
10533,0,0,0,1,0
9962,1,0,0,0,0
5032,0,0,0,0,1
5532,0,0,1,0,0
7211,0,0,0,1,0
8001,0,0,0,0,1
1349,0,0,0,1,0
7579,0,1,0,0,0
4387,0,0,1,0,0
10368,0,0,0,1,0
9280,0,0,1,0,0
7930,0,0,0,0,1
4872,0,0,0,0,1
1606,0,0,0,0,1
10264,0,0,0,1,0
2762,0,0,0,1,0
2791,1,0,0,0,0
2802,0,0,0,0,1
1659,0,0,0,0,1
1446,0,0,0,0,1
10646,0,0,0,1,0
1020,0,0,1,0,0
705,0,0,0,1,0
3692,0,0,0,0,1
1866,0,0,0,0,1
10398,0,0,1,0,0
7360,0,0,0,0,1
3080,0,0,0,0,1
2122,0,0,0,0,1
2574,0,0,0,0,1
10065,0,0,0,0,1
1921,0,0,0,0,1
9686,1,0,0,0,0
6109,0,1,0,0,0
7885,0,0,0,0,1
1419,0,0,0,0,1
3027,0,1,0,0,0
3463,0,1,0,0,0
10920,0,0,0,1,0
2025,0,0,0,0,1
594,1,0,0,0,0
1558,0,0,0,0,1
3753,0,0,0,0,1
4328,1,0,0,0,0
9975,1,0,0,0,0
4262,0,0,0,0,1
5716,0,0,0,0,1
2058,0,0,0,0,1
2870,1,0,0,0,0
8231,0,0,0,0,1
4189,0,0,0,0,1
5860,0,0,0,0,1
11183,0,0,0,1,0
6045,1,0,0,0,0
6550,0,0,1,0,0
4392,0,0,0,0,1
7113,0,0,0,0,1
5071,1,0,0,0,0
6690,1,0,0,0,0
6705,0,1,0,0,0
535,1,0,0,0,0
9193,0,1,0,0,0
292,1,0,0,0,0
7202,0,1,0,0,0
4688,1,0,0,0,0
4192,0,0,0,0,1
9679,0,0,1,0,0
9593,0,0,0,0,1
4122,0,0,0,0,1
6759,0,1,0,0,0
1318,0,0,0,0,1
9264,0,0,1,0,0
6543,0,0,0,0,1
4874,0,0,1,0,0
4080,0,0,0,0,1
4674,0,0,0,0,1
6245,0,0,0,0,1
11391,1,0,0,0,0
6130,0,0,0,0,1
11447,0,0,1,0,0
7487,0,0,0,0,1
4091,0,0,0,1,0
11104,0,0,0,0,1
5643,0,0,0,0,1
3487,0,0,0,0,1
3837,0,0,0,1,0
3944,0,0,0,1,0
10360,0,0,0,0,1
7422,0,1,0,0,0
356,0,0,0,0,1
11582,0,1,0,0,0
7174,0,0,0,0,1
4643,1,0,0,0,0
9720,0,1,0,0,0
837,0,0,0,0,1
6693,1,0,0,0,0
3679,0,0,0,0,1
2006,0,0,0,0,1
4475,1,0,0,0,0
11320,0,0,0,0,1
8464,0,0,0,0,1
2362,0,0,0,0,1
4896,0,0,0,0,1
7599,0,0,0,1,0
8536,0,0,0,0,1
9459,0,0,0,0,1
7740,0,0,0,0,1
6889,0,0,0,0,1
157,1,0,0,0,0
11065,0,0,0,0,1
8305,0,0,0,0,1
1441,0,0,0,0,1
6911,0,0,1,0,0
2748,0,0,0,1,0
8726,0,0,0,1,0
8423,0,0,0,0,1
9303,0,0,0,0,1
8634,0,0,0,0,1
5333,0,0,1,0,0
9773,1,0,0,0,0
10092,0,0,0,0,1
1963,0,0,0,1,0
5331,0,0,0,0,1
9535,0,1,0,0,0
10571,0,0,1,0,0
8283,1,0,0,0,0
11493,1,0,0,0,0
9651,0,0,1,0,0
3702,0,0,0,0,1
9300,0,0,0,0,1
4667,0,0,0,0,1
8216,1,0,0,0,0
8095,0,0,0,0,1
1543,0,0,0,0,1
6820,1,0,0,0,0
9363,0,0,0,1,0
2268,0,0,0,0,1
3952,0,0,0,0,1
8618,1,0,0,0,0
8743,0,0,0,0,1
7811,0,1,0,0,0
8255,0,0,0,1,0
9845,0,0,0,1,0
603,1,0,0,0,0
5905,1,0,0,0,0
5749,0,0,0,0,1
8307,0,0,0,0,1
393,1,0,0,0,0
11341,0,0,0,0,1
2996,0,0,0,0,1
5728,0,0,0,0,1
4695,1,0,0,0,0
5803,0,0,0,0,1
5398,0,1,0,0,0
8067,0,0,0,0,1
10005,1,0,0,0,0
10130,0,0,0,0,1
5019,0,0,0,0,1
181,0,0,0,0,1
2277,0,0,0,0,1
8793,0,0,0,0,1
6428,0,0,0,0,1
3133,0,0,0,0,1
3412,1,0,0,0,0
7937,0,0,1,0,0
10228,0,0,0,0,1
3263,0,0,0,0,1
401,0,0,0,0,1
8504,0,0,0,0,1
1631,0,0,0,0,1
4743,0,0,0,0,1
4303,0,0,0,1,0
7289,0,0,0,0,1
6596,0,0,0,0,1
5149,0,0,0,0,1
11004,1,0,0,0,0
11529,1,0,0,0,0
3353,0,0,1,0,0
9224,0,0,0,0,1
4097,0,0,0,1,0
3819,0,0,0,0,1
11552,0,0,0,0,1
6536,0,1,0,0,0
8651,0,0,0,1,0
7187,0,0,0,0,1
5650,1,0,0,0,0
5824,1,0,0,0,0
2067,0,0,0,0,1
11404,0,0,0,0,1
4707,0,0,0,0,1
1599,0,0,0,0,1
4568,1,0,0,0,0
1385,0,0,0,0,1
9942,0,0,0,0,1
10689,0,0,1,0,0
5950,0,0,0,0,1
1405,0,0,0,1,0
809,0,1,0,0,0
9445,1,0,0,0,0
2029,0,0,0,0,1
5598,0,1,0,0,0
2650,0,0,0,0,1
3963,0,0,0,0,1
11551,0,0,0,0,1
9871,0,0,0,0,1
1702,0,0,0,0,1
4094,0,0,0,0,1
4602,0,0,1,0,0
3282,1,0,0,0,0
4680,0,0,0,0,1
5763,1,0,0,0,0
2094,1,0,0,0,0
7895,0,0,0,0,1
9854,0,1,0,0,0
1880,0,0,0,0,1
3204,0,0,0,1,0
11149,0,0,1,0,0
7191,0,0,0,0,1
10096,0,0,0,0,1
7658,0,0,0,0,1
2287,0,0,0,0,1
9158,0,0,0,0,1
10915,1,0,0,0,0
8832,0,0,0,0,1
10702,0,0,0,0,1
7754,0,0,0,0,1
4716,1,0,0,0,0
664,0,0,1,0,0
2906,0,0,0,0,1
1046,0,0,0,0,1
9228,0,0,0,0,1
4092,0,0,0,0,1
4934,0,0,0,0,1
7363,0,0,0,0,1
1568,0,0,0,0,1
462,0,0,0,0,1
743,0,0,1,0,0
222,0,1,0,0,0
7152,0,0,0,0,1
11334,0,0,0,0,1
3160,0,0,0,0,1
625,0,0,0,1,0
9156,0,0,0,1,0
10151,0,0,1,0,0
2188,0,0,0,0,1
2177,0,0,0,0,1
6537,1,0,0,0,0
9350,1,0,0,0,0
9441,0,1,0,0,0
6692,0,0,0,0,1
438,0,0,0,0,1
11525,0,0,0,0,1
7792,0,0,1,0,0
353,0,1,0,0,0
7801,0,0,1,0,0
456,0,1,0,0,0
4317,0,0,0,1,0
9266,0,0,1,0,0
239,1,0,0,0,0
8545,0,0,0,0,1
3979,0,0,0,1,0
4407,0,0,1,0,0
5092,0,0,1,0,0
6466,0,1,0,0,0
9293,0,1,0,0,0
9214,0,0,0,0,1
9758,0,0,1,0,0
1018,0,0,0,0,1
11180,0,0,0,0,1
8312,0,0,1,0,0
1760,0,0,0,0,1
8223,0,1,0,0,0
11388,0,0,0,0,1
9902,0,0,0,0,1
1103,0,0,1,0,0
9578,1,0,0,0,0
7200,0,0,0,1,0
6209,0,0,0,0,1
9961,1,0,0,0,0
4833,0,0,1,0,0
4292,0,0,0,0,1
4484,1,0,0,0,0
8457,0,0,0,0,1
2947,0,0,0,0,1
10697,1,0,0,0,0
10778,0,0,0,0,1
7620,0,0,0,0,1
10993,0,0,0,0,1
10163,0,1,0,0,0
8694,0,0,0,0,1
9405,0,0,0,1,0
9818,1,0,0,0,0
9256,0,0,0,0,1
1034,0,0,0,1,0
2264,0,0,0,0,1
4772,0,0,0,0,1
7542,0,0,0,0,1
9820,1,0,0,0,0
906,0,0,0,1,0
7690,1,0,0,0,0
8349,0,0,0,0,1
7799,0,0,0,0,1
10153,0,0,0,0,1
7944,0,0,0,0,1
9378,0,0,0,0,1
2286,0,0,0,0,1
3660,0,0,0,0,1
4919,0,0,0,0,1
11561,1,0,0,0,0
9500,1,0,0,0,0
7578,0,0,0,1,0
5719,0,0,0,0,1
5176,0,0,1,0,0
2900,0,0,0,0,1
1721,0,0,0,0,1
9527,0,1,0,0,0
6326,0,1,0,0,0
8157,0,0,1,0,0
8055,0,0,0,1,0
6427,1,0,0,0,0
3023,0,0,0,0,1
8193,0,0,0,0,1
9399,0,0,0,0,1
1901,0,0,0,0,1
4132,0,0,1,0,0
1918,0,0,0,0,1
9150,0,0,0,1,0
1569,0,0,0,0,1
5614,1,0,0,0,0
347,1,0,0,0,0
1242,0,0,0,0,1
420,0,0,0,0,1
4454,0,0,0,0,1
8829,0,0,0,0,1
11481,0,0,0,0,1
5664,0,0,0,0,1
8081,0,0,0,1,0
5965,0,0,0,0,1
8413,0,0,0,0,1
10177,1,0,0,0,0
1031,0,0,0,0,1
3790,0,0,0,1,0
3761,0,0,0,0,1
10000,0,0,0,1,0
7528,0,0,0,1,0
7471,1,0,0,0,0
3834,0,0,1,0,0
763,0,0,0,1,0
10379,0,1,0,0,0
9301,0,0,1,0,0
10326,0,1,0,0,0
2484,0,0,0,0,1
1222,0,0,0,0,1
3798,0,0,0,0,1
2134,0,0,0,0,1
2423,0,0,0,0,1
4467,0,0,0,0,1
6306,1,0,0,0,0
4209,1,0,0,0,0
4929,0,0,0,0,1
6433,0,0,0,0,1
5982,1,0,0,0,0
4110,0,0,0,0,1
1575,0,0,0,0,1
509,0,0,0,1,0
9412,0,0,0,0,1
7403,1,0,0,0,0
9342,0,0,0,0,1
2304,0,0,0,0,1
8387,0,0,1,0,0
748,1,0,0,0,0
11211,1,0,0,0,0
1259,0,0,0,0,1
3077,0,0,0,0,1
5459,0,0,0,0,1
7341,0,0,0,0,1
11241,0,0,0,0,1
7639,0,0,0,0,1
711,0,0,1,0,0
8506,0,0,0,0,1
10653,0,1,0,0,0
10234,0,0,0,1,0
11426,0,0,0,0,1
6369,0,0,0,0,1
1372,0,0,0,0,1
712,0,0,0,0,1
10282,0,1,0,0,0
9380,0,1,0,0,0
7596,0,0,0,0,1
11382,1,0,0,0,0
11263,0,0,0,0,1
3781,0,0,0,0,1
10698,1,0,0,0,0
1482,0,0,0,0,1
1489,0,0,0,0,1
104,1,0,0,0,0
11084,0,0,0,0,1
1794,0,0,0,0,1
5268,0,1,0,0,0
1821,0,0,0,0,1
10358,0,1,0,0,0
10051,1,0,0,0,0
6461,1,0,0,0,0
11587,0,0,0,0,1
1741,0,0,0,0,1
1658,0,0,0,0,1
212,0,0,0,0,1
5049,0,0,1,0,0
6311,0,0,0,0,1
3058,0,0,0,0,1
323,1,0,0,0,0
10996,0,0,0,0,1
1097,1,0,0,0,0
10300,0,0,1,0,0
1359,0,0,0,0,1
334,0,0,0,0,1
4870,1,0,0,0,0
3110,0,0,1,0,0
10116,1,0,0,0,0
1613,0,0,0,0,1
9562,0,0,0,0,1
792,1,0,0,0,0
233,1,0,0,0,0
7958,0,0,0,0,1
4898,0,0,0,0,1
11286,0,0,0,1,0
209,0,0,0,0,1
8936,0,0,0,0,1
7771,0,0,0,0,1
5186,1,0,0,0,0
5994,1,0,0,0,0
8478,0,0,0,1,0
4288,0,0,0,0,1
3265,0,0,0,0,1
2413,0,0,0,0,1
4115,0,0,0,0,1
5294,0,1,0,0,0
6651,0,0,0,0,1
9027,1,0,0,0,0
11073,0,0,0,0,1
871,0,0,0,1,0
3251,1,0,0,0,0
1263,0,0,0,0,1
1618,0,0,0,0,1
11362,0,0,0,0,1
6639,0,0,0,0,1
8821,0,0,0,0,1
7893,0,0,0,1,0
10553,0,0,0,0,1
5800,0,0,0,0,1
1220,0,0,0,0,1
8697,0,0,0,0,1
1765,0,0,0,0,1
7563,0,0,0,0,1
2456,0,0,0,1,0
5928,0,0,0,0,1
10175,0,0,0,0,1
2001,0,1,0,0,0
1513,0,0,0,0,1
4207,0,0,0,0,1
2801,0,0,0,0,1
10719,0,1,0,0,0
6499,0,0,0,0,1
2523,0,0,0,0,1
4782,1,0,0,0,0
8959,0,1,0,0,0
11530,1,0,0,0,0
10330,0,1,0,0,0
7728,0,0,0,0,1
3078,0,0,0,1,0
4794,1,0,0,0,0
11354,0,0,0,0,1
5322,0,0,0,0,1
10043,1,0,0,0,0
2110,0,0,0,0,1
5065,0,0,0,0,1
2375,0,0,0,1,0
8898,0,0,0,0,1
3873,0,0,0,0,1
6586,0,0,0,0,1
7868,0,0,0,0,1
8552,0,0,0,0,1
11281,0,1,0,0,0
9886,0,1,0,0,0
5636,0,0,0,0,1
617,0,0,0,0,1
5758,0,0,0,0,1
7075,0,0,0,0,1
7814,0,0,0,0,1
6398,0,0,0,0,1
2652,0,0,0,0,1
5903,0,1,0,0,0
8398,0,0,1,0,0
745,0,1,0,0,0
11429,0,0,0,0,1
2004,0,0,0,0,1
7040,0,0,0,0,1
4901,0,0,0,0,1
11152,0,1,0,0,0
3047,0,0,0,1,0
10964,1,0,0,0,0
10340,0,0,0,0,1
1336,0,0,0,0,1
5781,1,0,0,0,0
3646,0,0,0,0,1
5003,0,0,0,0,1
9698,1,0,0,0,0
5358,1,0,0,0,0
4884,1,0,0,0,0
5011,0,1,0,0,0
6636,0,0,0,0,1
4463,0,0,1,0,0
1313,0,0,0,0,1
7425,0,0,0,1,0
11317,0,0,0,0,1
7431,0,0,0,0,1
2903,0,0,0,1,0
7592,0,0,1,0,0
10009,0,0,0,0,1
10495,0,0,0,0,1
3053,0,0,0,0,1
10701,0,1,0,0,0
8137,0,0,0,0,1
5563,0,0,0,0,1
7946,0,0,0,0,1
653,0,0,0,0,1
9448,1,0,0,0,0
2269,0,0,0,0,1
7516,0,0,0,0,1
7396,0,0,0,0,1
6232,1,0,0,0,0
11038,0,0,1,0,0
10522,0,0,1,0,0
8221,1,0,0,0,0
7019,0,0,0,0,1
10132,0,0,0,1,0
6127,0,0,0,1,0
6504,1,0,0,0,0
611,1,0,0,0,0
6211,0,0,0,0,1
2114,0,0,0,0,1
4439,0,0,1,0,0
6105,1,0,0,0,0
5640,1,0,0,0,0
3422,0,0,0,0,1
3166,0,0,0,0,1
2602,1,0,0,0,0
6389,0,0,0,0,1
511,0,1,0,0,0
8121,0,0,0,1,0
10494,0,0,0,0,1
3015,1,0,0,0,0
10770,0,0,0,0,1
10226,1,0,0,0,0
10502,0,0,1,0,0
8708,0,0,0,0,1
7337,0,0,0,0,1
8138,0,0,0,0,1
8151,0,0,0,0,1
5496,0,1,0,0,0
6954,1,0,0,0,0
7171,0,0,0,0,1
5902,0,0,0,0,1
3928,0,0,0,0,1
5426,0,0,0,1,0
9957,0,0,0,0,1
11557,0,0,0,0,1
7864,0,0,0,0,1
3656,1,0,0,0,0
1109,1,0,0,0,0
7861,0,0,0,0,1
6955,0,0,1,0,0
1038,0,0,0,0,1
9835,0,0,1,0,0
20,1,0,0,0,0
7859,0,0,0,0,1
7316,0,0,0,0,1
8701,0,0,0,1,0
8129,0,0,0,0,1
4411,1,0,0,0,0
934,0,0,0,0,1
4889,0,1,0,0,0
7116,0,0,0,0,1
10713,0,0,0,0,1
394,0,0,0,0,1
4519,0,0,0,0,1
1737,0,0,0,0,1
2165,0,0,0,0,1
561,1,0,0,0,0
3069,0,0,0,0,1
6210,0,1,0,0,0
6472,1,0,0,0,0
1162,0,0,1,0,0
5825,0,0,0,0,1
4226,1,0,0,0,0
1729,0,0,0,0,1
1527,0,0,0,0,1
6275,0,1,0,0,0
842,0,0,0,0,1
2930,1,0,0,0,0
8720,0,0,0,0,1
58,1,0,0,0,0
6975,0,0,0,0,1
2865,1,0,0,0,0
3520,1,0,0,0,0
6222,1,0,0,0,0
2291,0,0,0,0,1
9066,0,0,0,0,1
83,0,0,0,0,1
5022,0,0,0,0,1
10437,0,1,0,0,0
1649,0,0,0,0,1
8368,0,0,0,0,1
8579,0,0,0,0,1
2724,0,0,0,0,1
7586,0,0,0,0,1
5264,0,0,0,0,1
414,0,0,0,1,0
11085,0,0,0,1,0
2450,1,0,0,0,0
11034,0,0,0,0,1
4706,0,0,1,0,0
3938,0,0,0,0,1
8889,0,0,0,0,1
10823,1,0,0,0,0
4205,0,0,0,0,1
10436,0,0,0,0,1
11094,0,0,0,0,1
2907,0,0,0,0,1
8406,0,0,0,0,1
9262,0,0,0,0,1
2133,0,0,0,1,0
1897,0,0,0,0,1
11665,1,0,0,0,0
8695,0,0,0,1,0
9866,1,0,0,0,0
9784,0,0,1,0,0
9051,1,0,0,0,0
9097,0,0,0,1,0
7558,0,0,0,0,1
1817,0,0,0,0,1
11390,1,0,0,0,0
1937,0,0,0,1,0
337,0,0,0,1,0
2335,0,0,0,0,1
9149,0,0,0,1,0
2072,0,0,0,0,1
7764,0,0,0,0,1
1726,0,0,0,1,0
10035,1,0,0,0,0
1047,1,0,0,0,0
6177,1,0,0,0,0
2815,1,0,0,0,0
9373,0,0,0,0,1
2320,0,0,0,0,1
7755,0,0,0,0,1
8978,0,1,0,0,0
4766,1,0,0,0,0
8048,0,0,0,1,0
5617,1,0,0,0,0
766,0,0,0,1,0
2861,0,0,0,0,1
