,Disposable,Faceshield,Reusable
1921,0,1,0
9686,0,0,1
6109,1,0,0
7885,0,0,1
1419,0,1,0
3027,1,0,0
3463,1,0,0
10920,0,0,1
2025,0,1,0
594,0,1,0
1558,0,1,0
3753,1,0,0
4328,1,0,0
9975,0,0,1
4262,1,0,0
5716,1,0,0
2058,0,1,0
2870,1,0,0
8231,0,0,1
4189,1,0,0
5860,1,0,0
11183,0,0,1
6045,1,0,0
6550,1,0,0
4392,1,0,0
7113,0,0,1
5071,1,0,0
6690,1,0,0
6705,1,0,0
535,0,1,0
9193,0,0,1
292,0,1,0
7202,0,0,1
4688,1,0,0
4192,1,0,0
9679,0,0,1
9593,0,0,1
4122,1,0,0
6759,1,0,0
1318,0,1,0
9264,0,0,1
6543,1,0,0
4874,1,0,0
4080,1,0,0
4674,1,0,0
6245,1,0,0
11391,0,0,1
6130,1,0,0
11447,0,0,1
7487,0,0,1
4091,1,0,0
11104,0,0,1
5643,1,0,0
3487,1,0,0
3837,1,0,0
3944,1,0,0
10360,0,0,1
7422,0,0,1
356,0,1,0
11582,0,0,1
7174,0,0,1
4643,1,0,0
9720,0,0,1
837,0,1,0
6693,1,0,0
3679,1,0,0
2006,0,1,0
4475,1,0,0
11320,0,0,1
8464,0,0,1
2362,0,1,0
4896,1,0,0
7599,0,0,1
8536,0,0,1
9459,0,0,1
7740,0,0,1
6889,1,0,0
157,0,1,0
11065,0,0,1
8305,0,0,1
1441,0,1,0
6911,1,0,0
2748,1,0,0
8726,0,0,1
8423,0,0,1
9303,0,0,1
8634,0,0,1
5333,1,0,0
9773,0,0,1
10092,0,0,1
1963,0,1,0
5331,1,0,0
9535,0,0,1
10571,0,0,1
8283,0,0,1
11493,0,0,1
9651,0,0,1
3702,1,0,0
9300,0,0,1
4667,1,0,0
8216,0,0,1
8095,0,0,1
1543,0,1,0
6820,1,0,0
9363,0,0,1
2268,0,1,0
3952,1,0,0
8618,0,0,1
8743,0,0,1
7811,0,0,1
8255,0,0,1
9845,0,0,1
603,0,1,0
5905,1,0,0
5749,1,0,0
8307,0,0,1
393,0,1,0
11341,0,0,1
2996,1,0,0
5728,1,0,0
4695,1,0,0
5803,1,0,0
5398,1,0,0
8067,0,0,1
10005,0,0,1
10130,0,0,1
5019,1,0,0
181,0,1,0
2277,0,1,0
8793,0,0,1
6428,1,0,0
3133,1,0,0
3412,1,0,0
7937,0,0,1
10228,0,0,1
3263,1,0,0
401,0,1,0
8504,0,0,1
1631,0,1,0
4743,1,0,0
4303,1,0,0
7289,0,0,1
6596,1,0,0
5149,1,0,0
11004,0,0,1
11529,0,0,1
3353,1,0,0
9224,0,0,1
4097,1,0,0
3819,1,0,0
11552,0,0,1
6536,1,0,0
8651,0,0,1
7187,0,0,1
5650,1,0,0
5824,1,0,0
2067,0,1,0
11404,0,0,1
4707,1,0,0
1599,0,1,0
4568,1,0,0
1385,0,1,0
9942,0,0,1
10689,0,0,1
5950,1,0,0
1405,0,1,0
809,0,1,0
9445,0,0,1
2029,0,1,0
5598,1,0,0
2650,1,0,0
3963,1,0,0
11551,0,0,1
9871,0,0,1
1702,0,1,0
4094,1,0,0
4602,1,0,0
3282,1,0,0
4680,1,0,0
5763,1,0,0
2094,0,1,0
7895,0,0,1
9854,0,0,1
1880,0,1,0
3204,1,0,0
11149,0,0,1
7191,0,0,1
10096,0,0,1
7658,0,0,1
2287,0,1,0
9158,0,0,1
10915,0,0,1
8832,0,0,1
10702,0,0,1
7754,0,0,1
4716,1,0,0
664,0,1,0
2906,1,0,0
1046,0,1,0
9228,0,0,1
4092,1,0,0
4934,1,0,0
7363,0,0,1
1568,0,1,0
462,0,1,0
743,0,1,0
222,0,1,0
7152,0,0,1
11334,0,0,1
3160,1,0,0
625,0,1,0
9156,0,0,1
10151,0,0,1
2188,0,1,0
2177,0,1,0
6537,1,0,0
9350,0,0,1
9441,0,0,1
6692,1,0,0
438,0,1,0
11525,0,0,1
7792,0,0,1
353,0,1,0
7801,0,0,1
456,0,1,0
4317,1,0,0
9266,0,0,1
239,0,1,0
8545,0,0,1
3979,1,0,0
4407,1,0,0
5092,1,0,0
6466,1,0,0
9293,0,0,1
9214,0,0,1
9758,0,0,1
1018,0,1,0
11180,0,0,1
8312,0,0,1
1760,0,1,0
8223,0,0,1
11388,0,0,1
9902,0,0,1
1103,0,1,0
9578,0,0,1
7200,0,0,1
6209,1,0,0
9961,0,0,1
4833,1,0,0
4292,1,0,0
4484,1,0,0
8457,0,0,1
2947,1,0,0
10697,0,0,1
10778,0,0,1
7620,0,0,1
10993,0,0,1
10163,0,0,1
8694,0,0,1
9405,0,0,1
9818,0,0,1
9256,0,0,1
1034,0,1,0
2264,0,1,0
4772,1,0,0
7542,0,0,1
9820,0,0,1
906,0,1,0
7690,0,0,1
8349,0,0,1
7799,0,0,1
10153,0,0,1
7944,0,0,1
9378,0,0,1
2286,0,1,0
3660,1,0,0
4919,1,0,0
11561,0,0,1
9500,0,0,1
7578,0,0,1
5719,1,0,0
5176,1,0,0
2900,1,0,0
1721,0,1,0
9527,0,0,1
6326,1,0,0
8157,0,0,1
8055,0,0,1
6427,1,0,0
3023,1,0,0
8193,0,0,1
9399,0,0,1
1901,0,1,0
4132,1,0,0
1918,0,1,0
9150,0,0,1
1569,0,1,0
5614,1,0,0
347,0,1,0
1242,0,1,0
420,0,1,0
4454,1,0,0
8829,0,0,1
11481,0,0,1
5664,1,0,0
8081,0,0,1
5965,1,0,0
8413,0,0,1
10177,0,0,1
1031,0,1,0
3790,1,0,0
3761,1,0,0
10000,0,0,1
7528,0,0,1
7471,0,0,1
3834,1,0,0
763,0,1,0
10379,0,0,1
9301,0,0,1
10326,0,0,1
2484,0,1,0
1222,0,1,0
3798,1,0,0
2134,0,1,0
2423,0,1,0
4467,1,0,0
6306,1,0,0
4209,1,0,0
4929,1,0,0
6433,1,0,0
5982,1,0,0
4110,1,0,0
1575,0,1,0
509,0,1,0
9412,0,0,1
7403,0,0,1
9342,0,0,1
2304,0,1,0
8387,0,0,1
748,0,1,0
11211,0,0,1
1259,0,1,0
3077,1,0,0
5459,1,0,0
7341,0,0,1
11241,0,0,1
7639,0,0,1
711,0,1,0
8506,0,0,1
10653,0,0,1
10234,0,0,1
11426,0,0,1
6369,1,0,0
1372,0,1,0
712,0,1,0
10282,0,0,1
9380,0,0,1
7596,0,0,1
11382,0,0,1
11263,0,0,1
3781,1,0,0
10698,0,0,1
1482,0,1,0
1489,0,1,0
104,0,1,0
11084,0,0,1
1794,0,1,0
5268,1,0,0
1821,0,1,0
10358,0,0,1
10051,0,0,1
6461,1,0,0
11587,0,0,1
1741,0,1,0
1658,0,1,0
212,0,1,0
5049,1,0,0
6311,1,0,0
3058,1,0,0
323,0,1,0
10996,0,0,1
1097,0,1,0
10300,0,0,1
1359,0,1,0
334,0,1,0
4870,1,0,0
3110,1,0,0
10116,0,0,1
1613,0,1,0
9562,0,0,1
792,0,1,0
233,0,1,0
7958,0,0,1
4898,1,0,0
11286,0,0,1
209,0,1,0
8936,0,0,1
7771,0,0,1
5186,1,0,0
5994,1,0,0
8478,0,0,1
4288,1,0,0
3265,1,0,0
2413,0,1,0
4115,1,0,0
5294,1,0,0
6651,1,0,0
9027,0,0,1
11073,0,0,1
871,0,1,0
3251,1,0,0
1263,0,1,0
1618,0,1,0
11362,0,0,1
6639,1,0,0
8821,0,0,1
7893,0,0,1
10553,0,0,1
5800,1,0,0
1220,0,1,0
8697,0,0,1
1765,0,1,0
7563,0,0,1
2456,0,1,0
5928,1,0,0
10175,0,0,1
2001,0,1,0
1513,0,1,0
4207,1,0,0
2801,1,0,0
10719,0,0,1
6499,1,0,0
2523,0,1,0
4782,1,0,0
8959,0,0,1
11530,0,0,1
10330,0,0,1
7728,0,0,1
3078,1,0,0
4794,1,0,0
11354,0,0,1
5322,1,0,0
10043,0,0,1
2110,0,1,0
5065,1,0,0
2375,0,1,0
8898,0,0,1
3873,1,0,0
6586,1,0,0
7868,0,0,1
8552,0,0,1
11281,0,0,1
9886,0,0,1
5636,1,0,0
617,0,1,0
5758,1,0,0
7075,0,0,1
7814,0,0,1
6398,1,0,0
2652,1,0,0
5903,1,0,0
8398,0,0,1
745,0,1,0
11429,0,0,1
2004,0,1,0
7040,0,0,1
4901,1,0,0
11152,0,0,1
3047,1,0,0
10964,0,0,1
10340,0,0,1
1336,0,1,0
5781,1,0,0
3646,1,0,0
5003,1,0,0
9698,0,0,1
5358,1,0,0
4884,1,0,0
5011,1,0,0
6636,1,0,0
4463,1,0,0
1313,0,1,0
7425,0,0,1
11317,0,0,1
7431,0,0,1
2903,1,0,0
7592,0,0,1
10009,0,0,1
10495,0,0,1
3053,1,0,0
10701,0,0,1
8137,0,0,1
5563,1,0,0
7946,0,0,1
653,0,1,0
9448,0,0,1
2269,0,1,0
7516,0,0,1
7396,0,0,1
6232,1,0,0
11038,0,0,1
10522,0,0,1
8221,0,0,1
7019,0,0,1
10132,0,0,1
6127,1,0,0
6504,1,0,0
611,0,1,0
6211,1,0,0
2114,0,1,0
4439,1,0,0
6105,1,0,0
5640,1,0,0
3422,1,0,0
3166,1,0,0
2602,1,0,0
6389,1,0,0
511,0,1,0
8121,0,0,1
10494,0,0,1
3015,1,0,0
10770,0,0,1
10226,0,0,1
10502,0,0,1
8708,0,0,1
7337,0,0,1
8138,0,0,1
8151,0,0,1
5496,1,0,0
6954,0,0,1
7171,0,0,1
5902,1,0,0
3928,1,0,0
5426,1,0,0
9957,0,0,1
11557,0,0,1
7864,0,0,1
3656,1,0,0
1109,0,1,0
7861,0,0,1
6955,0,0,1
1038,0,1,0
9835,0,0,1
20,0,1,0
7859,0,0,1
7316,0,0,1
8701,0,0,1
8129,0,0,1
4411,1,0,0
934,0,1,0
4889,1,0,0
7116,0,0,1
10713,0,0,1
394,0,1,0
4519,1,0,0
1737,0,1,0
2165,0,1,0
561,0,1,0
3069,1,0,0
6210,1,0,0
6472,1,0,0
1162,0,1,0
5825,1,0,0
4226,1,0,0
1729,0,1,0
1527,0,1,0
6275,1,0,0
842,0,1,0
2930,1,0,0
8720,0,0,1
58,0,1,0
6975,0,0,1
2865,1,0,0
3520,1,0,0
6222,1,0,0
2291,0,1,0
9066,0,0,1
83,0,1,0
5022,1,0,0
10437,0,0,1
1649,0,1,0
8368,0,0,1
8579,0,0,1
2724,1,0,0
7586,0,0,1
5264,1,0,0
414,0,1,0
11085,0,0,1
2450,0,1,0
11034,0,0,1
4706,1,0,0
3938,1,0,0
8889,0,0,1
10823,0,0,1
4205,1,0,0
10436,0,0,1
11094,0,0,1
2907,1,0,0
8406,0,0,1
9262,0,0,1
2133,0,1,0
1897,0,1,0
11665,0,0,1
8695,0,0,1
9866,0,0,1
9784,0,0,1
9051,0,0,1
9097,0,0,1
7558,0,0,1
1817,0,1,0
11390,0,0,1
1937,0,1,0
337,0,1,0
2335,0,1,0
9149,0,0,1
2072,0,1,0
7764,0,0,1
1726,0,1,0
10035,0,0,1
1047,0,1,0
6177,1,0,0
2815,1,0,0
9373,0,0,1
2320,0,1,0
7755,0,0,1
8978,0,0,1
4766,1,0,0
8048,0,0,1
5617,1,0,0
766,0,1,0
2861,1,0,0
11220,0,0,1
5912,1,0,0
1144,0,1,0
9630,0,0,1
9545,0,0,1
2510,0,1,0
4504,1,0,0
2273,0,1,0
5627,1,0,0
3884,1,0,0
11547,0,0,1
7297,0,0,1
5038,1,0,0
102,0,1,0
1989,0,1,0
4043,1,0,0
10387,0,0,1
9501,0,0,1
828,0,1,0
8511,0,0,1
1672,0,1,0
7090,0,0,1
7819,0,0,1
7886,0,0,1
10158,0,0,1
2856,1,0,0
4477,1,0,0
5376,1,0,0
4237,1,0,0
2275,0,1,0
9407,0,0,1
7233,0,0,1
10829,0,0,1
2045,0,1,0
6408,1,0,0
4148,1,0,0
7197,0,0,1
1295,0,1,0
10586,0,0,1
591,0,1,0
9558,0,0,1
221,0,1,0
7508,0,0,1
7729,0,0,1
9713,0,0,1
9129,0,0,1
858,0,1,0
4720,1,0,0
9520,0,0,1
6403,1,0,0
841,0,1,0
3574,1,0,0
4256,1,0,0
5372,1,0,0
9016,0,0,1
994,0,1,0
6145,1,0,0
10403,0,0,1
1554,0,1,0
7775,0,0,1
7146,0,0,1
11043,0,0,1
6260,1,0,0
10298,0,0,1
6423,1,0,0
2848,1,0,0
6302,1,0,0
9552,0,0,1
2513,0,1,0
8935,0,0,1
1463,0,1,0
10199,0,0,1
7918,0,0,1
8267,0,0,1
2835,1,0,0
8863,0,0,1
6470,1,0,0
2233,0,1,0
3050,1,0,0
7469,0,0,1
4436,1,0,0
400,0,1,0
5277,1,0,0
4630,1,0,0
4921,1,0,0
5885,1,0,0
7798,0,0,1
3669,1,0,0
4366,1,0,0
1023,0,1,0
3298,1,0,0
3822,1,0,0
6137,1,0,0
59,0,1,0
4574,1,0,0
9596,0,0,1
9581,0,0,1
5948,1,0,0
9964,0,0,1
1328,0,1,0
10818,0,0,1
3351,1,0,0
4730,1,0,0
3827,1,0,0
3279,1,0,0
9950,0,0,1
4098,1,0,0
4974,1,0,0
7371,0,0,1
1550,0,1,0
1009,0,1,0
3540,1,0,0
2554,0,1,0
9498,0,0,1
1612,0,1,0
2737,1,0,0
3455,1,0,0
10085,0,0,1
8803,0,0,1
8035,0,0,1
648,0,1,0
3991,1,0,0
2862,1,0,0
879,0,1,0
8397,0,0,1
6315,1,0,0
2303,0,1,0
8188,0,0,1
1624,0,1,0
550,0,1,0
7105,0,0,1
8776,0,0,1
10577,0,0,1
8816,0,0,1
5030,1,0,0
5826,1,0,0
211,0,1,0
9757,0,0,1
11617,0,0,1
9367,0,0,1
3232,1,0,0
10705,0,0,1
6060,1,0,0
3543,1,0,0
68,0,1,0
1438,0,1,0
2515,0,1,0
2868,1,0,0
10529,0,0,1
6244,1,0,0
9801,0,0,1
696,0,1,0
8493,0,0,1
11208,0,0,1
7626,0,0,1
6927,1,0,0
1314,0,1,0
6438,1,0,0
3852,1,0,0
4003,1,0,0
6745,1,0,0
12,0,1,0
3844,1,0,0
818,0,1,0
10551,0,0,1
1346,0,1,0
10098,0,0,1
453,0,1,0
5957,1,0,0
11306,0,0,1
1656,0,1,0
3457,1,0,0
10152,0,0,1
10193,0,0,1
9186,0,0,1
37,0,1,0
5920,1,0,0
4746,1,0,0
1043,0,1,0
2908,1,0,0
8143,0,0,1
940,0,1,0
8828,0,0,1
8330,0,0,1
4561,1,0,0
6714,1,0,0
11568,0,0,1
6839,1,0,0
11225,0,0,1
538,0,1,0
5070,1,0,0
3703,1,0,0
1400,0,1,0
5886,1,0,0
10402,0,0,1
6957,0,0,1
2267,0,1,0
10110,0,0,1
7613,0,0,1
4210,1,0,0
2470,0,1,0
5851,1,0,0
8781,0,0,1
7825,0,0,1
5697,1,0,0
9413,0,0,1
5168,1,0,0
9281,0,0,1
266,0,1,0
1108,0,1,0
8939,0,0,1
10563,0,0,1
3229,1,0,0
7699,0,0,1
6620,1,0,0
9029,0,0,1
3319,1,0,0
6442,1,0,0
1739,0,1,0
230,0,1,0
11503,0,0,1
898,0,1,0
4055,1,0,0
7484,0,0,1
8026,0,0,1
3650,1,0,0
6076,1,0,0
7955,0,0,1
9164,0,0,1
1563,0,1,0
8250,0,0,1
5298,1,0,0
3071,1,0,0
8005,0,0,1
11431,0,0,1
5340,1,0,0
3433,1,0,0
5517,1,0,0
9253,0,0,1
10439,0,0,1
10826,0,0,1
6108,1,0,0
5940,1,0,0
8046,0,0,1
8027,0,0,1
3573,1,0,0
4525,1,0,0
8900,0,0,1
4759,1,0,0
3375,1,0,0
2840,1,0,0
4949,1,0,0
4024,1,0,0
10135,0,0,1
4184,1,0,0
6781,1,0,0
10758,0,0,1
3614,1,0,0
2213,0,1,0
833,0,1,0
8521,0,0,1
9319,0,0,1
5629,1,0,0
2111,0,1,0
6921,1,0,0
5403,1,0,0
10581,0,0,1
1743,0,1,0
5955,1,0,0
4373,1,0,0
5159,1,0,0
9072,0,0,1
10549,0,0,1
8774,0,0,1
7733,0,0,1
2543,0,1,0
930,0,1,0
8888,0,0,1
1197,0,1,0
10922,0,0,1
4771,1,0,0
355,0,1,0
1429,0,1,0
6453,1,0,0
3095,1,0,0
2991,1,0,0
8263,0,0,1
8447,0,0,1
1153,0,1,0
4040,1,0,0
332,0,1,0
10833,0,0,1
2769,1,0,0
10317,0,0,1
1598,0,1,0
10430,0,0,1
8243,0,0,1
5106,1,0,0
964,0,1,0
6390,1,0,0
5638,1,0,0
7691,0,0,1
2698,1,0,0
10203,0,0,1
6110,1,0,0
1483,0,1,0
4093,1,0,0
7108,0,0,1
6571,1,0,0
3281,1,0,0
7436,0,0,1
1426,0,1,0
2544,0,1,0
5091,1,0,0
5321,1,0,0
11116,0,0,1
2885,1,0,0
5730,1,0,0
7495,0,0,1
3070,1,0,0
2178,0,1,0
7724,0,0,1
10761,0,0,1
1057,0,1,0
5762,1,0,0
4253,1,0,0
4649,1,0,0
9318,0,0,1
2968,1,0,0
11247,0,0,1
3123,1,0,0
9365,0,0,1
1544,0,1,0
4635,1,0,0
10328,0,0,1
4656,1,0,0
5609,1,0,0
724,0,1,0
9990,0,0,1
9493,0,0,1
7545,0,0,1
1127,0,1,0
5595,1,0,0
7095,0,0,1
6618,1,0,0
1586,0,1,0
5146,1,0,0
4049,1,0,0
8108,0,0,1
1561,0,1,0
11103,0,0,1
4600,1,0,0
6380,1,0,0
6162,1,0,0
6631,1,0,0
6085,1,0,0
10631,0,0,1
4553,1,0,0
7189,0,0,1
1808,0,1,0
2889,1,0,0
5090,1,0,0
3817,1,0,0
7163,0,0,1
10425,0,0,1
6429,1,0,0
3287,1,0,0
9656,0,0,1
9421,0,0,1
9174,0,0,1
2605,1,0,0
6117,1,0,0
1392,0,1,0
10091,0,0,1
752,0,1,0
6662,1,0,0
3737,1,0,0
11410,0,0,1
6310,1,0,0
9963,0,0,1
3215,1,0,0
5882,1,0,0
9968,0,0,1
1777,0,1,0
17,0,1,0
1770,0,1,0
1888,0,1,0
9402,0,0,1
1642,0,1,0
9943,0,0,1
9591,0,0,1
2316,0,1,0
3022,1,0,0
4365,1,0,0
132,0,1,0
8351,0,0,1
9290,0,0,1
3012,1,0,0
10651,0,0,1
7217,0,0,1
5228,1,0,0
9349,0,0,1
1095,0,1,0
9079,0,0,1
4118,1,0,0
4176,1,0,0
7653,0,0,1
527,0,1,0
5632,1,0,0
3680,1,0,0
2002,0,1,0
5453,1,0,0
168,0,1,0
3771,1,0,0
10121,0,0,1
5079,1,0,0
11329,0,0,1
1919,0,1,0
3154,1,0,0
701,0,1,0
10827,0,0,1
3889,1,0,0
4526,1,0,0
11337,0,0,1
11660,0,0,1
6798,1,0,0
9046,0,0,1
2766,1,0,0
10364,0,0,1
772,0,1,0
1298,0,1,0
280,0,1,0
3559,1,0,0
9053,0,0,1
10384,0,0,1
1352,0,1,0
2926,1,0,0
8290,0,0,1
9084,0,0,1
1287,0,1,0
3946,1,0,0
9756,0,0,1
9566,0,0,1
5026,1,0,0
10172,0,0,1
7720,0,0,1
2013,0,1,0
5125,1,0,0
6670,1,0,0
4907,1,0,0
9663,0,0,1
5998,1,0,0
4676,1,0,0
5337,1,0,0
2147,0,1,0
5259,1,0,0
10018,0,0,1
3033,1,0,0
10217,0,0,1
5354,1,0,0
9815,0,0,1
449,0,1,0
6032,1,0,0
7502,0,0,1
7458,0,0,1
10947,0,0,1
5407,1,0,0
9265,0,0,1
810,0,1,0
9584,0,0,1
8514,0,0,1
8327,0,0,1
5964,1,0,0
5890,1,0,0
2073,0,1,0
8084,0,0,1
396,0,1,0
8269,0,0,1
885,0,1,0
1477,0,1,0
1790,0,1,0
4954,1,0,0
2333,0,1,0
4844,1,0,0
3233,1,0,0
